,LHipAngleZ,LKneeAngleZ,LAnkleAngleZ,RHipAngleZ,RKneeAngleZ,RAnkleAngleZ
0,37.9532,24.4816,11.0857,37.4533,25.3345,10.8274
1,37.4015,24.7244,10.9867,36.872,25.4339,10.9334
2,36.9876,25.3237,11.0543,36.4466,25.9751,11.2364
3,36.8096,26.2261,11.2929,36.3045,26.8958,11.6217
4,36.7209,27.174,11.5755,36.3437,27.9482,12.0432
5,36.4963,27.9496,11.8547,36.3264,28.8622,12.5176
6,36.0942,28.482,12.1617,36.081,29.5006,13.0311
7,35.4217,28.7569,12.5111,35.5899,29.8585,13.5555
8,34.6275,28.8158,12.9006,34.9403,29.9914,14.0803
9,33.7887,28.7074,13.3136,34.2153,29.9544,14.5924
10,32.9302,28.4754,13.7209,33.4504,29.7849,15.0633
11,32.0563,28.1556,14.0956,32.6585,29.5123,15.4711
12,31.1746,27.7699,14.428,31.8392,29.1469,15.8084
13,30.2941,27.3212,14.7195,30.9771,28.6666,16.076
14,29.4161,26.7969,14.9715,30.062,28.053,16.2843
15,28.5414,26.1958,15.1916,29.1122,27.3263,16.4511
16,27.6744,25.5346,15.3916,28.1669,26.5352,16.5947
17,26.8219,24.8344,15.5786,27.2566,25.7293,16.7274
18,25.9977,24.1187,15.7525,26.3859,24.9406,16.8536
19,25.2176,23.4138,15.9149,25.5444,24.1828,16.9757
20,24.4902,22.7453,16.0706,24.7239,23.4666,17.1006
21,23.8127,22.1275,16.2239,23.9254,22.8004,17.235
22,23.1731,21.555,16.3734,23.1538,22.1828,17.3799
23,22.5549,21.0069,16.5131,22.4089,21.5979,17.5265
24,21.9438,20.4567,16.6363,21.6822,21.0162,17.661
25,21.3308,19.8844,16.7375,20.9618,20.4104,17.7718
26,20.7159,19.2839,16.8136,20.2384,19.7686,17.8561
27,20.1047,18.6614,16.8678,19.5083,19.0888,17.9206
28,19.5051,18.0294,16.91,18.7756,18.3761,17.9725
29,18.9251,17.4033,16.952,18.049,17.6412,18.0165
30,18.3711,16.7965,17.0007,17.3353,16.8956,18.0536
31,17.8449,16.2177,17.0585,16.64,16.1501,18.0837
32,17.3449,15.6685,17.1276,15.9675,15.4149,18.1086
33,16.8685,15.1464,17.2078,15.3209,14.7017,18.1351
34,16.4131,14.6471,17.2957,14.7017,14.0179,18.1706
35,15.9749,14.1659,17.389,14.1065,13.3609,18.2177
36,15.5499,13.6985,17.4858,13.5244,12.7224,18.2718
37,15.1346,13.2413,17.583,12.9439,12.0942,18.3271
38,14.7238,12.791,17.6784,12.3605,11.4731,18.3791
39,14.309,12.3438,17.7694,11.7718,10.8567,18.4257
40,13.8788,11.8956,17.8564,11.1718,10.2473,18.4716
41,13.4217,11.4433,17.9422,10.5546,9.65101,18.5219
42,12.9292,10.9846,18.0279,9.91881,9.07767,18.5768
43,12.3964,10.5219,18.1151,9.26847,8.54559,18.6366
44,11.8219,10.0617,18.2082,8.61112,8.07572,18.7064
45,11.2089,9.61559,18.3143,7.9575,7.68835,18.7954
46,10.565,9.19758,18.4405,7.32094,7.40317,18.9104
47,9.89998,8.82351,18.5922,6.71093,7.23266,19.0568
48,9.22277,8.50701,18.7681,6.12921,7.18189,19.2388
49,8.54091,8.25808,18.9618,5.57602,7.24961,19.4418
50,7.86389,8.08519,19.1654,5.05654,7.4298,19.6358
51,7.20363,7.99325,19.3695,4.58319,7.71677,19.7904
52,6.57437,7.98311,19.5631,4.16611,8.10704,19.882
53,5.9905,8.05959,19.7235,3.79764,8.59723,19.8885
54,5.46259,8.24272,19.8193,3.45315,9.18184,19.7895
55,5.00027,8.5621,19.8225,3.1153,9.85969,19.5738
56,4.6161,9.04661,19.7163,2.8008,10.6435,19.2314
57,4.32663,9.72064,19.4965,2.55791,11.5618,18.7554
58,4.15776,10.609,19.1564,2.43558,12.6468,18.1513
59,4.14776,11.7473,18.6759,2.45983,13.9232,17.4382
60,4.33063,13.173,18.0351,2.63386,15.4059,16.6373
61,4.71679,14.9044,17.2189,2.95644,17.1011,15.7666
62,5.29795,16.9345,16.2165,3.42938,19.0074,14.8417
